epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,9083.33,1.55693,0.82435,1.14963,0.67448,0.75135,0.74056,0.49519,1.50878,0.81672,1.30005,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505,0.01515,0.00505
52,9265.64,1.5457,0.81744,1.14359,0.74187,0.76196,0.74668,0.4954,1.50395,0.81031,1.29669,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951,0.014853,0.004951
53,9447.63,1.55326,0.81616,1.14174,0.76231,0.75356,0.76744,0.51381,1.51019,0.81087,1.2987,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852,0.014556,0.004852
54,9628.27,1.54466,0.81117,1.14115,0.73497,0.75339,0.75798,0.50672,1.50611,0.8081,1.2961,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753,0.014259,0.004753
55,9809.42,1.54229,0.80639,1.13864,0.75985,0.75143,0.7588,0.50786,1.50509,0.80741,1.29765,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654,0.013962,0.004654
56,10000.8,1.53406,0.80521,1.13774,0.74781,0.74824,0.75986,0.51188,1.50957,0.80163,1.29971,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
57,10196.7,1.53146,0.79725,1.13347,0.761,0.76078,0.76436,0.50848,1.50804,0.80074,1.30025,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456,0.013368,0.004456
58,10381.6,1.52759,0.79881,1.13302,0.74274,0.75054,0.75617,0.5085,1.50698,0.80418,1.29959,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357,0.013071,0.004357
59,10562.6,1.5193,0.79625,1.12908,0.74497,0.75799,0.75224,0.50479,1.50897,0.80289,1.30229,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,10741,1.51108,0.79073,1.12535,0.74685,0.76121,0.75199,0.50343,1.50847,0.79731,1.30034,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,10906.6,1.51668,0.78902,1.12511,0.75516,0.75598,0.74973,0.49635,1.51092,0.79795,1.3009,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,11071.8,1.50413,0.78034,1.12195,0.76085,0.73865,0.75973,0.50528,1.51421,0.79948,1.30387,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,11236.3,1.49962,0.77819,1.12312,0.74733,0.75446,0.75088,0.50237,1.51426,0.79993,1.30349,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,11402.6,1.49797,0.77617,1.11857,0.75455,0.76112,0.76104,0.51064,1.51182,0.79856,1.30203,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,11596.7,1.49723,0.77148,1.11554,0.74606,0.75675,0.76153,0.5087,1.51169,0.79941,1.29958,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,11775.4,1.4822,0.76782,1.11584,0.7592,0.7527,0.75133,0.50167,1.51109,0.79955,1.3021,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,11941.3,1.4826,0.76278,1.11275,0.75871,0.76093,0.74836,0.50055,1.51148,0.79862,1.30256,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,12106.3,1.47728,0.75556,1.1091,0.75991,0.76533,0.75064,0.50279,1.51355,0.79822,1.30436,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
